Join_Count;codigo_def;UTM_x;UTM_y
no;AL168;495335.860408;4687914.301121
no;AL169;495348.860408;4687873.301122
no;AL170;502611.410407;4685199.851121
no;AL171;493383.860408;4686629.301121
yes;AL172;492703.235408;4687079.426121
no;AL173;492927.610408;4688789.301122
no;AL174;502403.335076;4689014.258391
no;AL175;493211.860408;4687022.301121
no;AL176;502159.417654;4689186.287072
no;AL177;502419.338916;4689079.127745
no;AL178;496327.760407;4679078.451120
no;AL179;499843.710407;4690437.701122
no;AL180;502529.911069;4688810.454544
no;AL181;498716.410407;4689039.551122
no;AL182;505234.310407;4688309.701122
no;AL183;492821.235408;4687141.926121
yes;AL184;491481.410408;4685182.151121
no;AL185;498634.160407;4689092.301122
no;AL186;505278.060407;4688308.951122
no;AL187;491055.910408;4685115.651121
yes;AL188;491530.360408;4690198.301122
no;AL189;511782.410407;4683886.451121
no;AL190;495008.060408;4689704.451122
no;AL191;501274.002356;4690123.683089
no;AL192;492826.235408;4687198.926121
no;AL193;497935.360407;4689928.551122
no;AL194;509657.560407;4688330.201122
no;AL195;501357.882570;4689704.464728
no;AL196;508946.760407;4688933.201122
no;AL197;508408.960407;4685854.951121
yes;AL198;496342.110407;4688780.301122
no;AL199;505319.060407;4688527.901122
yes;AL200;492052.435408;4689521.976122
yes;AL201;490871.485408;4687499.426121
no;AL202;491095.910408;4684892.151121
no;AL203;493024.860408;4687421.301121
no;AL204;494717.210408;4690286.551122
no;AL205;490370.110408;4685296.551121
yes;AL206;494759.060408;4690486.951122
yes;AL207;491759.585408;4689095.626122
no;AL208;497216.610407;4689832.301122
no;AL209;490863.185408;4687623.976121
no;AL210;502825.160407;4687892.351121
no;AL211;511700.761760;4684234.076820
no;AL212;497564.860407;4689961.551122
yes;AL213;491425.085408;4689626.126122
no;AL214;502692.660407;4686036.301121
no;AL215;494970.271985;4688429.296000
yes;AL216;489440.010408;4686021.151121
no;AL217;490116.610408;4685462.051121
no;AL218;502718.460407;4686012.501121
no;AL219;500514.010407;4692270.751122
no;AL220;496995.360407;4689886.801122
no;AL221;495186.910408;4689750.101122
no;AL222;502766.442220;4689987.240258
no;AL223;490187.272425;4693659.251805
no;AL224;497773.860407;4690164.551122
yes;AL225;488630.760408;4686332.401121
yes;AL226;488587.260408;4686287.651121
no;AL227;498635.710407;4690775.151122
yes;AL228;490201.185408;4687752.226121
no;AL229;494783.110408;4691047.051122
no;AL230;490354.798819;4693411.182616
no;AL231;497449.860407;4688741.601122
yes;AL232;490585.735408;4687733.876121
yes;AL233;494896.610408;4691495.301122
yes;AL234;489222.060408;4686451.751121
no;AL235;493077.460408;4683819.701121
no;AL236;494235.860408;4680170.551120
no;AL237;494674.610408;4690954.051122
no;AL238;503125.210407;4686576.401121
no;AL239;497095.860407;4689086.051122
no;AL240;502582.210407;4692173.351122
no;AL241;488050.160408;4686453.701121
no;AL242;494617.360408;4689655.701122
yes;AL243;489718.985408;4693574.176122
no;AL244;498765.360407;4690668.301122
no;AL245;494651.360408;4691598.301122
yes;AL246;495662.360408;4689358.051122
no;AL247;495595.860408;4680015.051120
no;AL248;500414.560407;4693056.751122
no;AL249;489971.360408;4694722.801122
no;AL250;493614.610408;4690916.151122
no;AL251;503684.510407;4690420.951122
no;AL252;500088.010407;4692789.251122
yes;AL253;491934.485408;4690341.926122
no;AL254;498021.310407;4692187.201122
no;AL255;493643.110408;4690988.651122
yes;AL256;494566.360408;4691764.301122
no;AL257;498327.360407;4692150.301122
no;AL258;494913.810408;4692389.701122
no;AL259;493888.610408;4690620.901122
yes;AL260;495605.860408;4690121.801122
yes;AL261;494541.110408;4691076.051122
yes;AL262;492024.660408;4683859.901121
no;AL263;498720.158882;4691663.644358
no;AL264;494052.160408;4682515.051121
no;AL265;493824.560408;4689772.701122
no;AL266;493093.210408;4689685.601122
no;AL267;498636.739797;4692165.197803
no;AL268;493373.610408;4682898.451121
no;AL269;495846.860408;4690178.801122
no;AL270;489508.235408;4693961.426122
no;AL271;489463.610408;4693961.551122
no;AL272;494208.860408;4681347.251121
no;AL273;497566.360407;4688968.051122
yes;AL274;496530.360407;4689961.051122
no;AL275;503560.310407;4690630.501122
no;AL276;490265.455267;4690060.772335
no;AL277;501101.360407;4692201.801122
no;AL278;494684.460408;4690794.851122
yes;AL279;492254.110408;4690564.051122
no;AL280;490577.485408;4684971.776121
yes;AL281;494386.310408;4689772.451122
no;AL282;494337.360408;4691718.301122
no;AL283;494935.610408;4680901.301121
no;AL284;489146.110408;4694299.051122
yes;AL285;495208.539734;4692054.324666
no;AL286;494714.560408;4692510.201122
yes;AL287;492383.035408;4687832.576121
no;AL288;499754.360407;4693018.751122
no;AL289;493264.610408;4690976.651122
no;AL290;497874.460407;4693085.551122
no;AL291;507956.210407;4688412.051122
no;AL292;501150.860407;4692271.801122
yes;AL293;491605.785408;4688372.626122
no;AL294;507951.710407;4688409.801122
yes;AL295;493107.610408;4690784.651122
yes;AL296;495891.845832;4690805.012135
yes;AL297;495123.610408;4691456.051122
no;AL298;493038.110408;4690693.651122
no;AL299;497911.410407;4693128.451122
no;AL300;508229.910407;4690372.551122
yes;AL301;495924.305208;4690728.198040
no;AL302;495936.714527;4691205.834438
yes;AL303;490655.285408;4689441.926122
no;AL304;494271.460408;4690910.651122
yes;AL305;489261.360408;4693902.301122
yes;AL306;489346.610408;4695683.801123
no;AL307;488367.110408;4693171.801122
no;AL308;496156.210630;4691097.105962
yes;AL309;494326.610408;4692104.301122
yes;AL310;493146.360408;4691743.801122
no;AL311;491146.910408;4684337.151121
no;AL312;488782.985408;4694336.676122
no;AL313;498013.810407;4693347.151122
no;AL314;488651.610408;4694378.051122
no;AL315;495350.670534;4693184.947699
yes;AL316;488460.735408;4693500.426122
no;AL317;488481.985408;4693581.676122
no;AL318;489336.485408;4693610.176122
no;AL319;488688.735408;4694231.676122
no;AL320;488614.610408;4694295.551122
no;AL321;489363.610408;4693467.051122
yes;AL322;494293.126666;4692889.256418
yes;AL323;489339.035408;4689606.426122
no;AL324;487506.010408;4690369.376122
no;AL325;494241.110408;4692096.301122
no;AL326;494167.110408;4691043.151122
yes;AL327;493019.110408;4691914.051122
no;AL328;494209.860408;4692232.551122
no;AL329;488360.610408;4693797.801122
no;AL330;498088.610407;4693454.301122
no;AL331;508312.460407;4687993.251121
no;AL332;508288.460407;4688064.001121
no;AL333;492930.610408;4691886.051122
no;AL334;488904.610408;4694527.051122
no;AL335;488304.110408;4693567.301122
no;AL336;488700.610408;4694127.551122
no;AL337;487911.610408;4693540.301122
no;AL338;487145.510408;4690395.676122
no;AL339;494907.620115;4693756.723721
yes;AL340;493958.810408;4693315.201122
yes;AL341;488378.610408;4693900.301122
no;AL342;492364.610408;4691474.551122
yes;AL343;492400.610408;4691315.551122
no;AL344;494110.610408;4691878.301122
yes;AL345;494741.741719;4694093.132880
no;AL346;489020.110408;4693530.551122
yes;AL347;488167.610408;4693049.801122
yes;AL348;492341.735408;4691532.176122
yes;AL349;494651.468298;4693374.249040
yes;AL350;488276.110408;4693983.801122
no;AL351;495555.000000;4694490.999877
no;AL352;510091.360407;4697000.801123
no;AL353;486846.910408;4686903.076121
no;AL354;496431.269777;4691869.637207
no;AL355;489799.860408;4696669.051123
no;AL356;488895.860408;4692456.551122
no;AL357;496574.876136;4692123.689963
no;AL358;489807.610408;4696669.051123
no;AL359;496621.160181;4691867.399869
no;AL360;487047.010408;4690440.576122
no;AL361;496875.000000;4691531.999876
no;AL362;506128.760407;4691388.951122
yes;AL363;492582.985408;4691827.926122
no;AL364;496797.000000;4691557.999876
yes;AL365;494153.739004;4693930.058711
no;AL366;496728.000000;4691944.999877
yes;AL367;494190.810408;4694275.201122
yes;AL368;492601.985408;4691760.176122
yes;AL369;493673.810408;4693143.701122
yes;AL370;492228.110408;4691638.551122
no;AL371;497073.000000;4692947.999877
no;AL372;505219.260407;4691998.701122
yes;AL373;493957.310408;4692629.701122
yes;AL374;489227.235408;4692298.676122
no;AL375;495315.760408;4695023.201123
no;AL376;485518.385408;4688603.551122
no;AL377;495292.760408;4695075.701123
yes;AL378;494328.717991;4694449.339402
no;AL379;496745.410407;4691023.151122
yes;AL380;487855.435408;4689028.126122
no;AL381;486993.360408;4690523.776122
no;AL382;505478.660407;4700551.851123
yes;AL383;493626.310408;4694080.451122
no;AL384;499655.960407;4693987.801122
no;AL385;489870.360408;4696658.051123
no;AL386;499617.310407;4693756.501122
no;AL387;493554.560408;4692736.701122
yes;AL388;491727.035408;4683427.276121
no;AL389;498338.266431;4693840.982140
yes;AL390;493508.310408;4693681.451122
yes;AL391;492054.360408;4691870.801122
no;AL392;498268.870922;4693925.277608
no;AL393;491657.785408;4683390.276121
yes;AL394;493510.000000;4693550.999877
no;AL395;489019.110408;4696331.051123
no;AL396;493530.810408;4693051.701122
no;AL397;494992.710408;4695654.851123
no;AL398;495143.210408;4695633.851123
no;AL399;492756.110408;4692279.801122
yes;AL400;494376.000000;4695182.999877
no;AL401;493016.560408;4693127.701122
no;AL402;498991.510407;4694062.751122
no;AL403;486875.860408;4690456.726122
no;AL404;494260.018775;4695301.150595
yes;AL405;494256.972236;4695349.703531
no;AL406;488301.800000;4692661.400000
no;AL407;493164.560408;4694261.451122
no;AL408;488710.760408;4698953.751123
no;AL409;488707.760408;4698969.751123
no;AL410;494237.615492;4695245.327284
yes;AL411;493632.358545;4694669.496219
no;AL412;494792.710408;4696027.351123
yes;AL413;493271.000000;4693970.999877
no;AL414;488302.235408;4692661.426122
yes;AL415;493146.000000;4694163.999877
yes;AL416;493197.560408;4695029.451123
no;AL417;492833.960408;4682267.401121
no;AL418;492772.410408;4682479.551121
no;AL419;486320.010408;4690769.826122
no;AL420;493647.943904;4695163.394597
yes;AL421;492209.569214;4692204.293457
yes;AL422;491251.860408;4694202.051122
no;AL423;487108.560408;4689400.226122
no;AL424;492366.660578;4693950.105710
no;AL425;492735.960408;4682280.401121
no;AL426;489831.110408;4696939.301123
no;AL427;487196.060408;4693562.551122
yes;AL428;492632.000000;4694057.999877
no;AL429;485753.285408;4689144.651122
no;AL430;503562.560407;4693654.601122
no;AL431;486123.510408;4689241.626122
no;AL432;487103.860408;4693568.151122
yes;AL433;492690.000000;4693871.999877
yes;AL434;490731.535408;4682295.026121
no;AL435;485912.660408;4690772.626122
no;AL436;494005.473301;4695833.953380
no;AL437;499375.860407;4693680.801122
yes;AL438;491410.910408;4683554.651121
yes;AL439;492588.250903;4693730.326148
no;AL440;492608.035408;4682328.026121
no;AL441;487187.810408;4693492.301122
no;AL442;487445.435408;4689096.551122
no;AL443;492068.935408;4681439.026121
no;AL444;485823.760408;4690726.926122
